636,[blocking test automation] Viewer Crashing if we try to submit formvalues using javascript method submit().,blocker
746,Garbage characters in form list boxes.,blocker
663,Views that have visibility hidden still eat events,blocker
676,[BLOCKER]Need architecture for focused text widget,blocker
535,navigator.javaEnabled() is always false,blocker
671,[BLOCK] Native Gtk combobox is a grey rectangle, unusable,blocker
933,[PP] Crash entering any URL in URL Bar and pressing enter,blocker
825,Parser hangs on External DTDs don't have doctype declaration header,blocker
932,Need to turn on XML_DTD flag to enable external DTD support in expat,blocker
932,Changing window to be a box and autosizing is cause bizarre behavior for dialogs,blocker
944,What's Related in Sidebar is broken,blocker
940,iframes don't display at all in xul loaded with CreateTopLevelWindow,blocker
1001,[PP]crash on startup on linux,blocker
1156,Need a cookie project on Mac,blocker
1165,Page Reload doesn't work,blocker
572,window.open opens multiple windows with the same window name,blocker
1214,Shift_JIS to Unicode conversion failure,blocker
1198,[BLOCKER] XUL keybindings trigger action even when control key is not pressed,blocker
1169,GFX widgets: adding content to empty combo boxes causes strange layouts,blocker
641,XUL-based UI: fail to render non-English text in menu & menuitems,blocker
1222,crash on load,blocker
880,Linux/Slackware: undefined iostream symbols, app won't start,blocker
792,[BLOCKER] Need to be able to access attributes and methods of xpconnect-wrapped DOM objects in JavaScript,blocker
905,crash when starting apprunner (debug build June 29),blocker
1247,[Blocker] Wallet resetting form values.,blocker
1288,Controls don't work with API.xs,blocker
1294,[PP][blocker]The correct frame is not found when window is scrolled,blocker
844,[Blocker]HTTP charset does not work,blocker
916,Need API to determine Screen chrome,blocker
1307,crash when I type in the URL bar or in the text area in the password dialog,blocker
332,[PP][BLOCK]ender/wallet -- select ONCHANGE handler failures,blocker
1216,Tree does not handle dynamically added treeitems (rows) when scrollbar turned on,blocker
1138,Dialogs with tab widgets do not handle intrinsic sizing,blocker
947,Box needs scrollbar,blocker
1395,[BLOCKER] Crash when selecting item in context menu,blocker
1398,[BLOCKER] Can't connect context menu to browser content window,blocker
1305,[BLOCKER] Need to implement nsIStatefulFrame.h for form elements,blocker
1345,[BLOCKER] Need hack to ignore absolute window X,Y on screen,blocker
1422,JavaScript code not executed if a form appears first in the page,blocker
1178,[Blocker]The Generated content's frame doesn't update when content changes,blocker
1526,Clicking in the Location Bar hangs the Linux client.,blocker
966,sched: Tree column resizing,blocker
1559,[BLOCKER] Modal dialogs cannot accept input,blocker
885,sched: [PP] [DOGFOOD] nsIWidget::CaptureMouse not implemented,blocker
1130,[BLOCKER] XUL Popups need to be rewritten using xp-menu code,blocker
1337,[Perf] small gif in background makes page VERY slow,blocker
1224,xpscrollbars don't work on mac,blocker
1641,Back/Forward not functional,blocker
